question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
Where should I begin if I want to follow the LLM Zoomcamp from scratch?,04919992b3,good,"The agent answer matches the ground truth well. It recommends the same three starting resources (LLM Zoomcamp docs, logistics docs, and GitHub repo), states that the course can be started anytime, mentions the course platform for deadlines, and gives the same typical workflow steps. It also preserves the point that homework follows the lesson flow. No important information from the original answer is missing.",good,"The single search query is relevant to the user’s question and contains the key idea of starting from scratch. One search call is reasonable for this simple informational question, and there were no unnecessary duplicate calls. The tool use supported the final answer adequately."
What’s the usual week-by-week routine for this course after I watch the videos?,04919992b3,good,"The agent’s answer matches the ground truth on the key workflow steps: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit before the deadline. It also correctly notes that homework is similar to the lesson flow but may use a different dataset or slightly different task. It omits the introductory links and the detail that you can start whenever you want, but those are not essential to the core question about the routine.",good,"The single search query was relevant to the question’s topic about weekly routine, and one search call is a reasonable amount here. There were no obvious duplicate or unnecessary calls. The query was somewhat generic and did not include specific course keywords, but the tool use still supported the final answer adequately."
"Do I need to start the course on a fixed date, or can I jump in whenever I’m ready?",04919992b3,good,"The agent answer matches the ground truth on the main point: you can start whenever you want / there is no fixed start date. It also correctly mentions that materials and videos are available and that homework deadlines are on the course platform. It omits the suggested docs/repository links and the step-by-step workflow, but those are extra details rather than required core content for this question.",good,"The single search query is relevant to the question because it asks about whether there is a fixed start date or if the course is self-paced. The query includes key ideas like fixed start date and start anytime. One search is reasonable here, and there were no unnecessary duplicate calls."
"After finishing a lesson, what’s the best order for going through notebooks, homework, and submission?",04919992b3,bad,"The agent’s answer captures the core workflow partially: notebook(s) first, then homework, then submission. However, it misses several key points from the ground truth: watching the lesson videos first, reading homework instructions on GitHub, and submitting before the deadline via the course platform. It also adds an unsupported detail about the homework being ready only when the submission form is open and the title is not marked [DRAFT], which is not in the original answer. So the answer is not fully aligned with the ground truth.",good,"The single search query is relevant and contains the main keywords from the question (notebooks, homework, submission). One search is reasonable here. However, the tool call did not clearly support the final answer beyond a generic query, and the answer introduced an unsupported detail, so the trajectory is only moderately reasonable."
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3,good,"The agent’s answer matches the ground truth on the key point: homework follows the lesson workflow but uses different data or slightly different tasks, rather than being a direct copy of the exercises. It omits the extra logistical details and links from the original, but those are not necessary for this specific question.",good,"The single search query was relevant and included important keywords from the question such as homework, lesson exercises, and different data/tasks. One search call was reasonable for this simple FAQ-style question, and there were no unnecessary duplicates."
I can’t find myself on the leaderboard — how do I locate my own row?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to click “Jump to your record on the leaderboard” to find your row, and it also correctly explains that “Edit Course Profile” shows the display name with the first field as nickname/display name and the second as official certificate name. This covers the key information from the original answer, though it omits the note about random assigned names like “Lucid Elbakyan,” which is not essential to the question.",good,"The search query was relevant to the question and contained important keywords about finding a row on the leaderboard. Only one search was used, which is reasonable given the straightforward question. The tool call supported the final answer adequately."
"When I created the account, what name shows up by default on the leaderboard?",c2903069a0,good,"The agent answer matches the key point from the ground truth: a random nickname is assigned by default and an example is ""Lucid Elbakyan."" It also mentions Edit Course Profile, which is consistent with the source. It omits some extra details about jumping to the record and the certificate/name fields, but those are not necessary for this question.",good,"The search query was relevant and contained the core concepts from the question (created account, default name, leaderboard). Only one search was needed, and it was reasonable for this simple FAQ lookup."
How do I check what my display name is for the course?,c2903069a0,good,"The agent’s answer matches the key point of the ground truth: to check the display name, click the “Edit Course Profile” button. It also correctly explains that the first field is the nickname/display name and the second is the official name for the certificate. This preserves the essential information, though it omits the detail about the random assigned name and the leaderboard link, which are not necessary to answer the question directly.",good,"The search query was relevant and included the main concepts from the question (“display name” and “course”). Only one search call was made, which is reasonable since the answer is straightforward. The tool use supported the final response."
Can I change the nickname shown in the leaderboard or should I keep the auto-generated one?,c2903069a0,good,"The agent’s answer matches the ground truth on the key point: the auto-generated leaderboard name is just the default and can be changed to any nickname, including Slack or GitHub username, and it can be used to remain anonymous. It omits some extra details about clicking the leaderboard link and the distinction with the official name/certificate, but those are not required to answer the question.",good,"The search query was relevant and included the main concepts from the question (nickname, leaderboard, auto-generated name, change). Only one search was used, which is reasonable for this straightforward FAQ-style question."
"What name will appear on my certificate, and how do I make sure it’s not the random default one?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly states that the certificate uses the second field in Edit Course Profile, and that this field should be set to the official name from identification documents to avoid the random default name appearing on the certificate. It also mentions the first field as the public/display name, which is consistent with the original answer.",good,"The search query was relevant to the question and included key concepts like certificate name, default random name, and how to change the name on the certificate. Only one search call was made, which is reasonable for this straightforward FAQ-style question."
Can I do the course on my own schedule and still get the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that you can only get a certificate by completing the course with the live cohort, and that self-paced mode does not qualify because peer-review of capstone projects must happen while the course is running. It omits some detail about reviewing 3 capstones and the peer-review list/form closing, but the core answer is the same.",good,"The search query was relevant to the user’s question and included key ideas like self-paced, certificate, and course. Only one search call was made, which is reasonable given the straightforward question. The tool call supported the final answer."
"If I take the self-paced version, will I be able to earn a certificate at the end?",69d122f12e,good,"The agent’s answer matches the ground truth: it says self-paced does not offer a certificate, and that only a live cohort can earn one because of the peer-review requirement during the running course. This preserves the key points from the original answer.",good,"The tool call was relevant and concise. The search query targeted the core issue of self-paced certificate eligibility, and one search was sufficient to support the final answer. No unnecessary or duplicate calls were made."
Do certificates get issued for people who are not in a live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth: it says certificates are only available for a live cohort and not for self-paced participation, and it correctly mentions the peer-review requirement while the course is running. This preserves the key information from the original answer.",good,"The single search query was relevant and included important keywords from the question such as certificates, live cohort, and self-paced. One search call was sufficient, and there were no unnecessary or duplicate tool calls."
Why isn’t there a certificate for the self-paced mode of the course?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are only available for the live cohort, not the self-paced mode, and explains the peer-review requirement for 3 capstone projects and that peer reviews are only possible while the course is running. This preserves the key reasons from the original answer.",good,"The search query was relevant and included the main concepts from the question: self-paced mode and certificate. Only one search was used, which is reasonable for a straightforward FAQ-style question. The tool call supports the final answer and there were no unnecessary or duplicate searches."
Is peer-review of the capstone project only possible while the course is running?,69d122f12e,good,"The agent’s answer is not fully correct. The original answer says peer-review is only possible while the course is running, but the main point is that certificates are only awarded for a live cohort because you must complete 3 peer reviews; self-paced mode does not qualify. The agent captured the live-cohort/self-paced certificate point, but it incorrectly frames the response as a direct yes/no confirmation about peer-review without preserving the nuance that the peer-review opportunity is tied to earning the certificate. Still, it contains the key facts from the FAQ.",good,"The search query was relevant and closely matched the question’s wording. Only one search was used, which is reasonable, and it supported the final answer. No unnecessary duplicate calls were made."
Can I still get the certificate if I skipped the first homework?,9f689c185f,good,"The agent’s answer matches the ground truth: it says homework is not mandatory, you can still get the certificate, and passing the Capstone project is required. It also correctly mentions homework points are mainly for practice/leaderboard ranking, which aligns with the original answer.",good,"The search query included the key concepts from the question (certificate, first homework, homework required), and a single search was sufficient to answer the question. No duplicate or unnecessary tool calls were made."
Do I have to do every homework to earn the course certificate?,9f689c185f,good,"The agent answer matches the ground truth on the key point: homework is not mandatory for the certificate, and passing the Capstone project is required. It also includes the relevant note that homework is recommended and affects leaderboard rank. However, it adds an extra condition about needing a live cohort and self-paced mode not qualifying, which is not present in the original answer and may be unsupported. Still, the core answer is correct.",good,"The search query included relevant keywords from the question such as certificate, homework, and FAQ. Only one search call was made, which is reasonable for this straightforward question. The tool call supported the final answer."
What do I need to pass for the certificate if homework is optional?,9f689c185f,good,"The agent's answer matches the ground truth. It correctly states that homework is not required for the certificate, and that passing the Capstone project is necessary. It also correctly notes that homework affects leaderboard rank rather than certificate eligibility.",good,"The search query was relevant and included key terms from the question such as certificate, homework optional, and pass requirements. Only one search call was needed, which is reasonable, and it supported the final answer well."
"If I miss a homework assignment, will it block me from getting certified?",9f689c185f,good,"The agent answer matches the ground truth. It correctly says homework is not mandatory for certification, that passing the Capstone project is required, and that homework points only affect leaderboard rank. This preserves the key information from the original answer, though it phrases the initial yes/no slightly differently.",good,"The single search query was relevant and included important keywords like homework, block, certified, and FAQ. One search call is reasonable for this question, and it supported the final answer. No unnecessary duplicate calls were made."
Does the final project matter more than homework for the certificate?,9f689c185f,good,"The agent answer matches the ground truth. It correctly states that the Capstone/final project is required to get the certificate, while homework is not mandatory but recommended and affects leaderboard rank. This preserves the key information from the original answer.",good,"The search query was relevant and included key concepts from the question such as final project, homework, certificate, and importance. Only one search call was made, which is reasonable since the answer was straightforward and the query was sufficient to support the final response."
Why does the homework content keep changing before it's officially out?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly explains that a homework marked with [DRAFT] is not ready, that it is only ready when the form is open and the title no longer contains [DRAFT], and that content can still change until then at the student's own risk. This preserves the key information and intent of the original answer.",good,"The search query was relevant to the user’s question and used important keywords about homework changing before release. Only one search was needed, and there were no unnecessary duplicate calls. The tool use reasonably supported the final response."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent answer matches the ground truth well. It correctly states that [DRAFT] means the homework is not ready yet, that it is ready only when the form is open and the title no longer contains [DRAFT], and that content may still change so doing it early is at your own risk. This preserves the key information from the original answer.",good,"The single search query was relevant to the question and included the important keyword [DRAFT] and homework title. One search was sufficient, and there were no redundant or unnecessary tool calls."
How can I tell if a homework assignment is actually ready to do?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that the homework is ready only when the form is open and the title does not contain [DRAFT]. It also includes the warning that if [DRAFT] is present, the assignment is not ready and may still change, and that working early is at the student's own risk. This preserves the key information from the original answer.",good,"The single search query is relevant to the question, though somewhat generic. It does include the concept of homework readiness and assignment availability, but it does not specifically target the distinctive [DRAFT] keyword. Still, only one search call was made, which is reasonable, and the tool use does not appear unnecessary. The final answer is well supported by the query and aligns with the ground truth."
Is it safe to start working on homework when the form is already open?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that the homework is only ready when the form is open and the title does not contain [DRAFT], and it warns that working early is at the student's own risk because content may change. This preserves the key information from the original answer.",good,"The search query was relevant and included important keywords from the question such as 'homework form open' and 'safe to start working'. Only one search call was needed, and it reasonably supported the final answer without unnecessary duplication."
Can the homework still change after it shows up on the course platform?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that homework can still change until it is finalized, and includes both readiness conditions: the form must be open and the title must not contain [DRAFT]. It also captures the warning that working early is at your own risk.",good,"The search query was relevant to the question and used key terms about homework changing on the course platform. Only one search was needed, and there were no redundant or unnecessary tool calls."
When is the next time this course will run?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and timing: it states the next offering is Summer 2027.,good,"The single search query was relevant to the question and reasonably targeted at course scheduling. One search call is sufficient here, and there were no unnecessary or duplicate calls."
Do you know when the course will be offered again?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning and key information: the course will be offered again in Summer 2027.,good,"The single search query was relevant to the question and aimed at finding the next offering time. One search call is reasonable, and there were no unnecessary duplicate calls."
What term is the next offering of this course?,bd31146b0e,good,The agent's answer exactly matches the ground truth: 'Summer 2027.' It provides the same key information and directly answers the question.,good,"The search query was relevant to the question and included key concepts like 'next offering' and 'course term'. Only one search call was made, which is reasonable and sufficient for this simple lookup. The tool call supported the final answer."
Is there a date for the next course session?,bd31146b0e,good,The agent answer matches the ground truth by stating that the next course session is Summer 2027. This contains the key information and is effectively equivalent to the original answer.,good,"The search query was directly relevant to the question and contained the core concept of the next course session date. Only one search call was used, which is reasonable and sufficient for this straightforward lookup."
When should I expect the next course start?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning: the next course start is Summer 2027.,good,"The search query was relevant and included key terms about the next course start. Only one search call was made, which is reasonable for this straightforward question."
Where can I find the course videos?,31456f4b5f,good,"The agent’s answer matches the ground truth: it says the course videos are linked from the LLM Zoomcamp GitHub repository, instructs the user to open the relevant lesson folder, notes that each lesson page has the videos linked at the top, and recommends using the GitHub repo first because it is more up to date than the YouTube playlist. This contains the key information from the original answer.",good,"The search query was relevant to the question and contained the core topic, though it was somewhat generic. Only one search call was made, which is reasonable for a straightforward FAQ-style question. The tool call supported the final answer."
Is there a place in the GitHub repo that links to each lesson video?,31456f4b5f,good,"The agent answer matches the ground truth well. It identifies the LLM Zoomcamp GitHub repository as the main entry point, states that each lesson folder/page has the relevant videos linked at the top, and notes that the repo is more up to date than the YouTube playlist. This contains the key information from the original answer, with no missing or incorrect points of substance.",good,"The single search query was relevant to the question and included useful keywords like GitHub repo, lesson video, and FAQ. One search call was sufficient for this simple lookup, and there were no unnecessary duplicate calls. The tool usage supported the final answer appropriately."
"Do I need to use the YouTube playlist, or should I start from the repo?",31456f4b5f,good,"The agent answer matches the ground truth: it says to start from the GitHub repo, explains that it is the main entry point and easier to keep updated, and notes that lesson pages link the relevant videos at the top. This preserves the key guidance from the original answer.",good,"The search query included relevant terms like YouTube playlist and repo, though it was a bit broad. Only one search call was used, which is reasonable for this simple FAQ question. The tool call was sufficient to support the final answer."
How do I get to the lecture videos for a specific lesson?,31456f4b5f,good,"The agent answer matches the ground truth closely. It identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has the relevant lecture videos linked at the top, and mentions that the GitHub repo is preferable because it is easier to keep updated than the YouTube playlist. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included the core idea of finding lecture videos for a specific lesson. Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool use was sufficient and did not include unnecessary or duplicate searches."
What’s the best starting point if I’m looking for all the course materials and videos?,31456f4b5f,good,"The agent answer matches the ground truth on the key point: the LLM Zoomcamp GitHub repository is the main entry point, and lesson folders contain videos linked at the top. It also preserves the recommendation to use the repo as the primary source. The extra mention of docs is not in the original answer, but it does not contradict the main answer and is minor.",good,"The single search query was relevant and closely matched the question’s wording. One search call is reasonable, and there were no unnecessary duplicate calls. The tool use supports the final answer adequately."
